fid,model,data_type,score_func,score
3,Voting,train,f1,0.8598956884339515
3,Voting,validation,f1,0.8609429938324975
3,Voting,test,f1,0.8599271287219898
3,Voting,train,roc_auc,0.6631365339381106
3,Voting,validation,roc_auc,0.6669292999299441
3,Voting,test,roc_auc,0.6632869961845965
3,AdaBoost,train,accuracy,0.6740572342206178
3,AdaBoost,validation,accuracy,0.6738240848997212
3,AdaBoost,test,accuracy,0.6745570644842162
3,AdaBoost,train,precision,0.7243882217939638
3,AdaBoost,validation,precision,0.7248297213622291
3,AdaBoost,test,precision,0.7250892406878208
3,AdaBoost,train,recall,0.8976879949922434
3,AdaBoost,validation,recall,0.8959953462739575
3,AdaBoost,test,recall,0.89739698701553
3,AdaBoost,train,f1,0.8017805867428329
3,AdaBoost,validation,f1,0.8013746457275079
3,AdaBoost,test,f1,0.8020935879766358
3,AdaBoost,train,roc_auc,0.4767965275644866
3,AdaBoost,validation,roc_auc,0.4777928314237571
3,AdaBoost,test,roc_auc,0.4771104757311933
4,Logistic,train,accuracy,0.7343367850406586
4,Logistic,validation,accuracy,0.7343735947477291
4,Logistic,test,accuracy,0.7348952243906827
4,Logistic,train,precision,0.7343367850406586
4,Logistic,validation,precision,0.7343735947477291
4,Logistic,test,precision,0.7348952243906827
4,Logistic,train,recall,1.0
4,Logistic,validation,recall,1.0
4,Logistic,test,recall,1.0
4,Logistic,train,f1,0.8468214378828888
4,Logistic,validation,f1,0.846845912520418
4,Logistic,test,f1,0.8471926304930457
4,Logistic,train,roc_auc,0.5
4,Logistic,validation,roc_auc,0.5
4,Logistic,test,roc_auc,0.5
4,SVC,train,accuracy,0.7343367850406586
4,SVC,validation,accuracy,0.7343735947477291
4,SVC,test,accuracy,0.7348952243906827
4,SVC,train,precision,0.7343367850406586
4,SVC,validation,precision,0.7343735947477291
4,SVC,test,precision,0.7348952243906827
4,SVC,train,recall,1.0
4,SVC,validation,recall,1.0
4,SVC,test,recall,1.0
4,SVC,train,f1,0.8468214378828888
4,SVC,validation,f1,0.846845912520418
4,SVC,test,f1,0.8471926304930457
4,SVC,train,roc_auc,0.5
4,SVC,validation,roc_auc,0.5
4,SVC,test,roc_auc,0.5
4,Decision Tree,train,accuracy,0.7343367850406586
4,Decision Tree,validation,accuracy,0.7343735947477291
4,Decision Tree,test,accuracy,0.7348952243906827
4,Decision Tree,train,precision,0.7343367850406586
4,Decision Tree,validation,precision,0.7343735947477291
4,Decision Tree,test,precision,0.7348952243906827
4,Decision Tree,train,recall,1.0
4,Decision Tree,validation,recall,1.0
4,Decision Tree,test,recall,1.0
4,Decision Tree,train,f1,0.8468214378828888
4,Decision Tree,validation,f1,0.846845912520418
4,Decision Tree,test,f1,0.8471926304930457
4,Decision Tree,train,roc_auc,0.5
4,Decision Tree,validation,roc_auc,0.5
4,Decision Tree,test,roc_auc,0.5
4,Random Forest,train,accuracy,0.7343367850406586
4,Random Forest,validation,accuracy,0.7343735947477291
4,Random Forest,test,accuracy,0.7348952243906827
4,Random Forest,train,precision,0.7343367850406586
4,Random Forest,validation,precision,0.7343735947477291
4,Random Forest,test,precision,0.7348952243906827
4,Random Forest,train,recall,1.0
4,Random Forest,validation,recall,1.0
4,Random Forest,test,recall,1.0
4,Random Forest,train,f1,0.8468214378828888
4,Random Forest,validation,f1,0.846845912520418
4,Random Forest,test,f1,0.8471926304930457
4,Random Forest,train,roc_auc,0.5
4,Random Forest,validation,roc_auc,0.5
4,Random Forest,test,roc_auc,0.5
4,Voting,train,accuracy,0.7343367850406586
4,Voting,validation,accuracy,0.7343735947477291
4,Voting,test,accuracy,0.7348952243906827
4,Voting,train,precision,0.7343367850406586
4,Voting,validation,precision,0.7343735947477291
4,Voting,test,precision,0.7348952243906827
4,Voting,train,recall,1.0
4,Voting,validation,recall,1.0
4,Voting,test,recall,1.0
4,Voting,train,f1,0.8468214378828888
4,Voting,validation,f1,0.846845912520418
4,Voting,test,f1,0.8471926304930457
4,Voting,train,roc_auc,0.5
4,Voting,validation,roc_auc,0.5
4,Voting,test,roc_auc,0.5
4,AdaBoost,train,accuracy,0.7343367850406586
4,AdaBoost,validation,accuracy,0.7343735947477291
4,AdaBoost,test,accuracy,0.7348952243906827
4,AdaBoost,train,precision,0.7343367850406586
4,AdaBoost,validation,precision,0.7343735947477291
4,AdaBoost,test,precision,0.7348952243906827
4,AdaBoost,train,recall,1.0
4,AdaBoost,validation,recall,1.0
